instrument,price,timestamp
IE00B1XNHC34,"(7213,3,EUR)",2024-09-10T15:29:46.570Z
IE00BGV5VN51,"(11372,2,EUR)",2024-09-10T15:28:01.591Z
IE00BYXYX521,"(25,0,EUR)",2024-09-10T14:12:23.887Z
LU0489337690,"(2572,2,EUR)",2024-09-10T15:29:36.448Z
DE0005933931,"(1523,1,EUR)",2024-09-10T15:27:13.839Z
IE00BKWQ0H23,"(23905,2,EUR)",2024-09-10T15:20:53.033Z
IE00BKWQ0F09,"(1878,1,EUR)",2024-09-10T14:39:44.683Z
LU1861137484,"(8401,2,EUR)",2024-09-10T14:18:37.709Z
IE000Y77LGG9,"(9288,2,EUR)",2024-09-11T15:26:06.097Z
IE00B441G979,"(85996,3,EUR)",2024-09-11T15:18:10.102Z
IE00B1XNHC34,"(7406,3,EUR)",2024-09-11T15:28:52.417Z
IE00BGV5VN51,"(11332,2,EUR)",2024-09-11T15:21:52.162Z
IE00BYXYX521,"(251899,4,EUR)",2024-09-11T13:45:54.008Z
LU0489337690,"(2546,2,EUR)",2024-09-11T15:25:05.060Z
DE0005933931,"(15262,2,EUR)",2024-09-11T15:29:24.259Z
IE00BKWQ0H23,"(23855,2,EUR)",2024-09-11T14:48:35.443Z
IE00BKWQ0F09,"(187,0,EUR)",2024-09-11T14:05:28.913Z
LU1861137484,"(8458,2,EUR)",2024-09-11T13:36:21.825Z
IE000Y77LGG9,"(9472,2,EUR)",2024-09-12T15:21:17.672Z
IE00B441G979,"(87826,3,EUR)",2024-09-12T14:28:33.682Z
IE00B1XNHC34,"(7427,3,EUR)",2024-09-12T15:29:23.375Z
IE00BGV5VN51,"(11646,2,EUR)",2024-09-12T15:25:37.020Z
IE00BYXYX521,"(2567,2,EUR)",2024-09-12T14:54:34.197Z
LU0489337690,"(2563,2,EUR)",2024-09-12T15:29:14.281Z
DE0005933931,"(15406,2,EUR)",2024-09-12T15:25:40.184Z
IE00BKWQ0H23,"(23895,2,EUR)",2024-09-12T13:46:01.519Z
IE00BKWQ0F09,"(187,0,EUR)",2024-09-11T14:05:28.913Z
LU1861137484,"(8488,2,EUR)",2024-09-12T15:21:48.855Z
IE000Y77LGG9,"(9532,2,EUR)",2024-09-13T15:17:05.144Z
IE00B441G979,"(88446,3,EUR)",2024-09-13T13:36:10.589Z
IE00B1XNHC34,"(7508,3,EUR)",2024-09-13T15:29:47.289Z
IE00BGV5VN51,"(11708,2,EUR)",2024-09-13T15:22:10.095Z
IE00BYXYX521,"(258351,4,EUR)",2024-09-13T13:19:21.713Z
LU0489337690,"(2607,2,EUR)",2024-09-13T14:47:36.344Z
DE0005933931,"(15566,2,EUR)",2024-09-13T15:25:03.627Z
IE00BKWQ0H23,"(2392,1,EUR)",2024-09-13T15:10:09.711Z
IE00BKWQ0F09,"(19074,2,EUR)",2024-09-13T13:06:09.696Z
LU1861137484,"(8549,2,EUR)",2024-09-13T15:15:39.537Z
IE000Y77LGG9,"(9514,2,EUR)",2024-09-16T15:21:41.921Z
IE00B1XNHC34,"(75,1,EUR)",2024-09-16T15:24:11.143Z
IE00B441G979,"(88454,3,EUR)",2024-09-16T14:32:23.083Z
IE00BGV5VN51,"(11682,2,EUR)",2024-09-16T15:25:45.908Z
IE00BYXYX521,"(258901,4,EUR)",2024-09-16T13:39:54.085Z
LU0489337690,"(25895,3,EUR)",2024-09-16T14:52:48.281Z
DE0005933931,"(15514,2,EUR)",2024-09-16T15:27:25.703Z
IE00BKWQ0H23,"(239,0,EUR)",2024-09-16T15:28:52.088Z
IE00BKWQ0F09,"(19076,2,EUR)",2024-09-16T14:37:41.784Z
LU1861137484,"(8536,2,EUR)",2024-09-16T13:47:18.898Z
IE000Y77LGG9,"(9584,2,EUR)",2024-09-17T14:26:47.822Z
IE00B1XNHC34,"(7584,3,EUR)",2024-09-17T15:03:44.762Z
IE00B441G979,"(89194,3,EUR)",2024-09-17T15:06:43.077Z
IE00BGV5VN51,"(11736,2,EUR)",2024-09-17T15:08:03.391Z
IE00BYXYX521,"(260899,4,EUR)",2024-09-17T13:45:59.739Z
LU0489337690,"(2569,2,EUR)",2024-09-17T14:49:31.904Z
DE0005933931,"(15602,2,EUR)",2024-09-17T15:01:58.024Z
IE00BKWQ0F09,"(19192,2,EUR)",2024-09-17T07:30:14.976Z
IE00BKWQ0H23,"(23755,2,EUR)",2024-09-17T15:07:38.082Z
LU1861137484,"(8562,2,EUR)",2024-09-17T15:10:25.166Z
IE000Y77LGG9,"(9508,2,EUR)",2024-09-18T14:47:10.377Z
IE00B1XNHC34,"(7561,3,EUR)",2024-09-18T15:29:44.884Z
IE00B441G979,"(8871,2,EUR)",2024-09-18T14:52:34.103Z
IE00BGV5VN51,"(11612,2,EUR)",2024-09-18T15:26:30.295Z
IE00BYXYX521,"(260099,4,EUR)",2024-09-18T13:45:54.844Z
LU0489337690,"(25475,3,EUR)",2024-09-18T14:30:01.901Z
DE0005933931,"(15586,2,EUR)",2024-09-18T15:23:46.705Z
IE00BKWQ0F09,"(19228,2,EUR)",2024-09-18T07:07:35.109Z
IE00BKWQ0H23,"(2358,1,EUR)",2024-09-18T15:11:07.696Z
LU1861137484,"(8499,2,EUR)",2024-09-18T14:41:50.804Z
IE000Y77LGG9,"(9647,2,EUR)",2024-09-19T15:22:34.693Z
IE00B1XNHC34,"(7548,3,EUR)",2024-09-19T15:29:44.666Z
IE00B441G979,"(90056,3,EUR)",2024-09-19T15:17:25.633Z
IE00BGV5VN51,"(11846,2,EUR)",2024-09-19T15:25:57.505Z
IE00BYXYX521,"(260851,4,EUR)",2024-09-19T14:44:15.995Z
LU0489337690,"(25595,3,EUR)",2024-09-19T14:53:09.520Z
