"_metadata_updated_at","surrogate_key","partner_id","instrument","instrument_price","trade_date","cumulative_position","cumulative_position_value"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-01","par_1","DE0005933931","163.660000","2024-11-01","6.757330","1105.904628"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-02","par_1","DE0005933931","163.660000","2024-11-02","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-03","par_1","DE0005933931","163.660000","2024-11-03","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-04","par_1","DE0005933931","163.660000","2024-11-04","6.954640","1138.196382"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-05","par_1","DE0005933931","163.660000","2024-11-05","7.151500","1170.414490"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-06","par_1","DE0005933931","163.660000","2024-11-06","7.348570","1202.666966"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-07","par_1","DE0005933931","163.660000","2024-11-07","7.546510","1235.061827"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-08","par_1","DE0005933931","163.660000","2024-11-08","7.743130","1267.240656"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-09","par_1","DE0005933931","163.660000","2024-11-09","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-10","par_1","DE0005933931","163.660000","2024-11-10","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-11","par_1","DE0005933931","163.660000","2024-11-11","7.940530","1299.547140"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-12","par_1","DE0005933931","163.660000","2024-11-12","8.137540","1331.789796"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-13","par_1","DE0005933931","163.660000","2024-11-13","8.334250","1363.983355"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-14","par_1","DE0005933931","163.660000","2024-11-14","8.531560","1396.275110"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-15","par_1","DE0005933931","163.660000","2024-11-15","8.728630","1428.527586"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-16","par_1","DE0005933931","163.660000","2024-11-16","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-17","par_1","DE0005933931","163.660000","2024-11-17","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-18","par_1","DE0005933931","163.660000","2024-11-18","8.925490","1460.745693"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-19","par_1","DE0005933931","163.660000","2024-11-19","9.123340","1493.125824"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-20","par_1","DE0005933931","163.660000","2024-11-20","9.319960","1525.304654"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-21","par_1","DE0005933931","163.660000","2024-11-21","9.517120","1557.571859"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-22","par_1","DE0005933931","163.660000","2024-11-22","9.714370","1589.853794"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-23","par_1","DE0005933931","163.660000","2024-11-23","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-24","par_1","DE0005933931","163.660000","2024-11-24","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-25","par_1","DE0005933931","163.660000","2024-11-25","9.911770","1622.160278"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-26","par_1","DE0005933931","163.660000","2024-11-26","10.108930","1654.427484"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-11-27","par_1","DE0005933931","163.660000","2024-11-27","10.306480","1686.758517"
